"donor","category","number_of_weapons","monetary_value_eur","weapons_list"
"Australia","Howitzers",6,28672479,"M777 howitzer (6)"
"Australia","Tanks",49,463047927,"M1A1 Abrams (49)"
"Belgium","Tanks",1,516317,"Leopard-1 (1)"
"Canada","Air Defense",1,49013492,"National Advanced Surface-to-Air Missile System (NASAMS) (1)"
"Canada","Howitzers",4,19114986,"M777 howitzer (4)"
"Canada","Tanks",8,15923120,"Leopard-2A4 (8)"
"Czechia","Air Defense",16,368069933,"2K12 KUB (16)"
"Czechia","Howitzers",13,19029524,"Dana Howitzer (13)"
"Czechia","IFV",131,30468729,"BVP-1 infantry fighting vehicle (131)"
"Czechia","MLRS",12,18562244,"RM-70 multiple rocket launcher (12)"
"Czechia","Tanks",62,93685184,"Modified T-72 tank (T-72A/T-72M1/M1R) (62)"
"Denmark","Howitzers",42,189599811,"CAESAR artillery howitzer (19); Bohdana self-propelled howitzer (18); Zusana-2 howitzer (5)"
"Denmark","IFV",100,298885719,"BMP-2 (80); CV9035 MKIIIC (20)"
"Denmark","Tanks",94,85414840,"Leopard-1A5 (62); Modified T-72 tank (T-72A/T-72M1/M1R) (25); Leopard-2A4 (7)"
"Estonia","Howitzers",57,22398693,"D-30 howitzer (24); FH70 155mm howitzer (24); D-30 Howitzer (9)"
"France","Air Defense",2,20263437,"Crotale air-defense system (2)"
"France","Howitzers",69,391232151,"CAESAR artillery howitzer (54); TRF1 howitzer (15)"
"France","MLRS",4,51669906,"M270 weapon system (4)"
"Germany","Air Defense",19,3880245637,"Iris-T SLM air defence system (14); Patriot air defense battery (5)"
"Germany","Howitzers",110,1227241004,"RCH-155 self propelled howitzer (54); Panzerhaubitze 2000 (44); M109 155mm howitzer (7); Zusana-2 howitzer (5)"
"Germany","IFV",204,288065564,"infantry fighting vehicle MARDER (165); M80A infantry fighting vehicle (30); AiTO30 FDC (9)"
"Germany","MLRS",8,47494812,"Mars II (5); HIMARS 142 multiple rocket launcher (3)"
"Germany","Tanks",90,206006134,"Leopard-1A5 (42); M-84 tank (30); Leopard-2A6 (18)"
"Greece","IFV",60,33161275,"BMP-1 (60)"
"Italy","Air Defense",3,938064331,"SAMP/T anti-air missile defense system (3)"
"Italy","Howitzers",76,193019858,"M109 A3GM 155mm howitzer (60); FH70 155mm howitzer (10); Panzerhaubitze 2000 (6)"
"Italy","MLRS",2,27714474,"M270 weapon system (2)"
"Latvia","Howitzers",6,10276735,"M109 A3GM 155mm howitzer (6)"
"Lithuania","Howitzers",18,5302912,"M101 105mm howitzer (9); M50 105mm howitzer (9)"
"Luxembourg","Howitzers",1,5898010,"CAESAR artillery howitzer (1)"
"Netherlands","Air Defense",1,371781764,"Patriot air defense battery (1)"
"Netherlands","Howitzers",23,196939364,"DITA howitzer (15); Panzerhaubitze 2000 (8)"
"Netherlands","IFV",294,91153799,"YPR-765 infantry vehicle (294)"
"Netherlands","Tanks",104,100373815,"overhauled T-72 (45); Leopard-1A5 (37); Modified T-72 tank (T-72A/T-72M1/M1R) (15); Leopard-2A4 (7)"
"Norway","Howitzers",27,73041383,"M109 A3GM 155mm howitzer (22); Zusana-2 howitzer (5)"
"Norway","MLRS",11,32576112,"M270 weapon system (Norway) (11)"
"Norway","Tanks",8,15963068,"Leopard-2A4 (8)"
"Poland","Howitzers",18,212650882,"AHS Krab self-propelled howitzer (18)"
"Poland","IFV",42,21799944,"BMP-1 (42)"
"Poland","Tanks",318,536800518,"Modified T-72 tank (T-72A/T-72M1/M1R) (270); PT-91 Twardy (34); Leopard-2A4 (14)"
"Portugal","Howitzers",18,4837767,"M101 105mm howitzer (18)"
"Portugal","Tanks",3,27997872,"Leopard-2A6 (3)"
"Romania","Air Defense",1,360165676,"Patriot air defense battery (1)"
"Slovakia","Air Defense",3,239718311,"2K12 KUB (2); S-300 air defence system (1)"
"Slovakia","IFV",30,16632655,"BMP-1 (30)"
"Slovenia","IFV",35,23487269,"M80A infantry fighting vehicle (35)"
"Slovenia","Tanks",28,27379223,"M-55S tank (28)"
"Spain","Air Defense",8,290700706,"HAWK air defense system (7); Aspide battery (1)"
"Spain","Howitzers",6,8117393,"OTO Melara Mod 56 Towed Howitzer 105/14 (6)"
"Spain","Tanks",29,57218431,"Leopard-2A4 (29)"
"Sweden","Howitzers",44,160773993,"Archer self-propelled artillery system (44)"
"Sweden","IFV",70,535507316,"CV90 combat vehicle (50); CV9035 MKIIIC (20)"
"United Kingdom","Air Defense",19,90750,"RAVEN Ground Based Air Defence System (13); Stormer Armored vehicle with Starstreak anti-air missile launchers (6)"
"United Kingdom","Howitzers",166,951075706,"L119 105mm howitzer (72); AS-90 howitzer (66); M109 A3GM 155mm howitzer (28)"
"United Kingdom","MLRS",6,78988562,"M270 weapon system (6)"
"United Kingdom","Tanks",14,177380655,"Challenger 2 (14)"
"United States","Air Defense",38,1822136984,"Avenger air defense system (20); National Advanced Surface-to-Air Missile System (NASAMS) (13); Patriot air defense battery (3); HAWK air defense system (2)"
"United States","Howitzers",273,1000469500,"M777 howitzer (183); 105mm howitzer (72); M109 A3GM 155mm howitzer (18)"
"United States","IFV",305,535555258,"Bradley infantry fighting vehicle (301); Bradley fire support team vehicle (4)"
"United States","MLRS",41,609864286,"HIMARS 142 multiple rocket launcher (41)"
"United States","Tanks",76,340742693,"overhauled T-72 (45); M1A1 Abrams (31)"
