"country","iso","year","month","total","financial","humanitarian","military","commitments","to_be_allocated","gdp","pct_gdp"
"Australia","AUS",2022,2,0.002645,0,0,0.002645,0.002645,0,1312.77115526256,0.000201482184415531
"Australia","AUS",2022,3,0.142911,0,0.0653,0.077611,0.142912,0.000001,1312.77115526256,0.0108862081122903
"Australia","AUS",2022,4,0.069697,0,0,0.069697,0.069697,0,1312.77115526256,0.00530915077777287
"Australia","AUS",2022,5,0.040613,0,0,0.040613,0.040613,0,1312.77115526256,0.00309368467133004
"Australia","AUS",2022,7,0.073368,0,0.000538,0.07283,0.073369,0.000001,1312.77115526256,0.00558878824430951
"Australia","AUS",2022,10,0.067827,0,0.017449,0.050378,0.067827,0,1312.77115526256,0.00516670401601218
"Australia","AUS",2023,2,0.021271,0,0,0.021271,0.021271,0,1312.77115526256,0.0016203128713432
"Australia","AUS",2023,6,0.068081,0,0.006189,0.061892,0.068081,0,1312.77115526256,0.00518605239969518
"Australia","AUS",2023,7,0.044763,0,0,0.044763,0.044763,0,1312.77115526256,0.00340980983780431
"Australia","AUS",2023,10,0.012022,0,0,0.012022,0.012022,0,1312.77115526256,0.00091577271116957
"Australia","AUS",2024,2,0.030242,0,0,0.030242,0.030242,0,1312.77115526256,0.00230367645409999
"Australia","AUS",2024,4,0.060719,0,0,0.060719,0.060719,0,1312.77115526256,0.00462525397184371
"Australia","AUS",2024,5,0.018998,0,0.018998,0,0.018998,0,1312.77115526256,0.00144716768980199
"Australia","AUS",2024,7,0.154392,0,0.000615,0.153777,0.154392,0,1312.77115526256,0.0117607702897099
"Australia","AUS",2024,10,0.150773,0,0,0.150773,0.150773,0,1312.77115526256,0.0114850939095965
"Australia","AUS",2024,11,0.008607,0,0,0.008607,0.008607,0,1312.77115526256,0.000655635977793752
"Australia","AUS",2024,12,0.046029,0,0.046029,0,0.046029,0,1312.77115526256,0.00350624705726369
"Australia","AUS",2025,3,0,0,0,0,0.004954,0.004954,1312.77115526256,0
"Australia","AUS",2025,4,0,0,0,0,0.004954,0.004954,1312.77115526256,0
"Australia","AUS",2025,12,0.053874,0,0,0.053874,0.023535,-0.030339,1312.77115526256,0.00410383788400843
"Australia","AUS",2026,1,0.005779,0,0.005779,0,0.005779,0,1312.77115526256,0.000440213816157789
"Austria","AUT",2022,2,0.001042,0,0.001042,0,0.001042,0,406.148669999993,0.000256556299938153
"Austria","AUT",2022,3,0.013256,0.01,0,0.003256,0.013256,0,406.148669999993,0.00326382947406924
"Austria","AUT",2022,5,0,0,0,0,0.0544,0.0544,406.148669999993,0
"Austria","AUT",2022,6,0.010818,0,0.010818,0,0.010818,0,406.148669999993,0.0026635566724865
"Austria","AUT",2022,9,0.001835,0,0.001835,0,0.001835,0,406.148669999993,0.000451805000370931
"Austria","AUT",2022,11,0.025321,0.01,0.015321,0,0.025321,0,406.148669999993,0.00623441657460073
"Austria","AUT",2022,12,0.025,0.02,0.005,0,0.025,0,406.148669999993,0.0061553814764432
"Austria","AUT",2023,1,0.005,0,0.005,0,0.005,0,406.148669999993,0.00123107629528864
"Austria","AUT",2023,2,0.003148,0,0.003148,0,0.003148,0,406.148669999993,0.000775085635513728
"Austria","AUT",2023,3,0.018,0,0.018,0,0.018,0,406.148669999993,0.0044318746630391
"Austria","AUT",2023,4,0.001158,0,0.001158,0,0.001158,0,406.148669999993,0.000285117269988849
"Austria","AUT",2023,5,0.002,0,0.002,0,0.002,0,406.148669999993,0.000492430518115456
"Austria","AUT",2023,6,0.001,0,0.001,0,0.001,0,406.148669999993,0.000246215259057728
"Austria","AUT",2023,7,0.015,0.015,0,0,0.015,0,406.148669999993,0.00369322888586592
"Austria","AUT",2023,9,0.001,0,0.001,0,0.001,0,406.148669999993,0.000246215259057728
"Austria","AUT",2023,10,0.04,0.04,0,0,0.04,0,406.148669999993,0.00984861036230912
"Austria","AUT",2024,5,0.005,0,0.005,0,0.005,0,406.148669999993,0.00123107629528864
"Austria","AUT",2024,6,0.01,0,0.01,0,0.006,-0.004,406.148669999993,0.00246215259057728
"Austria","AUT",2024,7,0.000738,0,0.000738,0,0.000738,0,406.148669999993,0.000181706861184603
"Austria","AUT",2024,11,0.008,0,0.008,0,0.008,0,406.148669999993,0.00196972207246182
"Austria","AUT",2024,12,0.01017,0.01,0.00017,0,0.01017,0,406.148669999993,0.00250400918461709
"Austria","AUT",2025,3,0.011,0,0.011,0,0.011,0,406.148669999993,0.00270836784963501
"Austria","AUT",2025,5,0,0,0,0,0.02,0.02,406.148669999993,0
"Austria","AUT",2025,8,0.002,0,0.002,0,0,-0.002,406.148669999993,0.000492430518115456
"Austria","AUT",2025,10,0.005,0,0.005,0,0,-0.005,406.148669999993,0.00123107629528864
"Austria","AUT",2025,11,0.014706,0.014706,0,0,0.014706,0,406.148669999993,0.00362084159970295
"Austria","AUT",2025,12,0.002045,0,0.002045,0,0.002045,0,406.148669999993,0.000503510204773054
"Austria","AUT",2026,1,0.006,0,0.006,0,0,-0.006,406.148669999993,0.00147729155434637
"Austria","AUT",2026,2,0.0176,0,0.0176,0,0,-0.0176,406.148669999993,0.00433338855941601
"Belgium","BEL",2022,2,0.076,0,0,0.076,0.076,0,502.311599999992,0.0151300507493757
"Belgium","BEL",2022,3,0.01463,0,0.00363,0.011,0.01463,0,502.311599999992,0.00291253476925483
"Belgium","BEL",2022,4,0,0,0,0,0.0606,0.0606,502.311599999992,0
"Belgium","BEL",2022,5,0.002646,0,0,0.002646,0.002646,0,502.311599999992,0.000526764661616424
"Belgium","BEL",2022,7,0.011439,0,0.0008,0.010639,0.010639,-0.0008,502.311599999992,0.00227727171739617
"Belgium","BEL",2022,8,0.0111,0.0031,0,0.008,0.0111,0,502.311599999992,0.00220978372786935
"Belgium","BEL",2022,9,0.026761,0,0,0.026761,0.026761,0,502.311599999992,0.00532756958031637
"Belgium","BEL",2022,10,0.003236,0,0,0.003236,0.003236,0,502.311599999992,0.000644221634539209
"Belgium","BEL",2022,11,0.012245,0.00496,0,0.007285,0.012245,0,502.311599999992,0.0024377298871856
"Belgium","BEL",2022,12,0.001444,0,0,0.001444,0.001444,0,502.311599999992,0.000287470964238139
"Belgium","BEL",2023,1,0.09464,0,0.0006,0.09404,0.09404,-0.0006,502.311599999992,0.0188408947752753
"Belgium","BEL",2023,3,0.003448,0,0,0.003448,0.003448,0,502.311599999992,0.000686426512945362
"Belgium","BEL",2023,5,0.092,0.008,0.024,0.06,0.068,-0.024,502.311599999992,0.0183153245913496
"Belgium","BEL",2023,6,0.01931,0.0015,0.01631,0.0015,0.003,-0.01631,502.311599999992,0.00384422736803218
"Belgium","BEL",2023,7,0.000685,0,0,0.000685,0.000685,0,502.311599999992,0.000136369536359505
"Belgium","BEL",2023,10,0.001,0.001,0,0,0.001,0,502.311599999992,0.000199079615123365
"Belgium","BEL",2023,11,0.0025,0,0.0025,0,0,-0.0025,502.311599999992,0.000497699037808412
"Belgium","BEL",2023,12,0.033,0.01,0.002,0.021,1.781,1.748,502.311599999992,0.00656962729907104
"Belgium","BEL",2024,2,0.534,0,0,0.534,0,-0.534,502.311599999992,0.106308514475877
"Belgium","BEL",2024,3,0.537,0.01,0.015,0.512,0,-0.537,502.311599999992,0.106905753321247
"Belgium","BEL",2024,4,0.2133,0,0.009,0.2043,0,-0.2133,502.311599999992,0.0424636819058137
"Belgium","BEL",2024,5,0.018,0.01,0.008,0,0,-0.018,502.311599999992,0.00358343307222057
