"country","iso","bilateral_pct_gdp","eu_share_pct_gdp","total_pct_gdp","eu_share_bn"
"Denmark","DNK",3.273931,0.577329,3.85126,1.944231
"Estonia","EST",3.063147,0.591703,3.65485,0.18606
"Lithuania","LTU",2.834712,0.536105,3.370817,0.301179
"Latvia","LVA",1.963666,0.568181,2.531847,0.191454
"Sweden","SWE",1.971224,0.52335,2.494574,2.812745
"Finland","FIN",1.434193,0.627183,2.061376,1.576531
"Netherlands","NLD",1.248933,0.4697,1.718633,4.022304
"Poland","POL",1.020784,0.585828,1.606612,3.365386
"Germany","DEU",0.830916,0.530646,1.361562,19.112542
"Slovakia","SVK",0.763005,0.59706,1.360065,0.588241
"Belgium","BEL",0.636458,0.646016,1.282474,3.245013
"Croatia","HRV",0.608421,0.592482,1.200903,0.345424
"France","FRA",0.316155,0.648804,0.964959,16.225745
"Bulgaria","BGR",0.359582,0.553205,0.912787,0.393158
"Italy","ITA",0.237927,0.647953,0.88588,11.546849
"Slovenia","SVN",0.258634,0.594593,0.853227,0.310426
"Czechia","CZE",0.265255,0.572363,0.837618,1.363606
"Luxembourg","LUX",0.47339,0.359902,0.833292,0.260191
"Spain","ESP",0.188936,0.633184,0.82212,7.64153
"Portugal","PRT",0.179674,0.631525,0.811199,1.354436
"Romania","ROU",0.223711,0.572393,0.796104,1.374856
"Greece","GRC",0.092773,0.625711,0.718484,1.136758
"Austria","AUT",0.062991,0.596894,0.659885,2.424277
"Cyprus","CYP",0.016654,0.618675,0.635329,0.148598
"Hungary","HUN",0.03518,0.574766,0.609946,0.883711
"Malta","MLT",0.014781,0.536462,0.551243,0.078759
"Ireland","IRL",0.120327,0.373292,0.493619,1.591282
