"year","month","total_allocations","military","financial","humanitarian"
2022,1,0.266861,0.231852,0,0.035009
2022,2,3.120279,0.933532,1.982075,0.204672
2022,3,5.065387,1.99095,1.812011,1.262426
2022,4,8.949867,5.258701,2.355154,1.336012
2022,5,5.125727,1.069057,2.890062,1.166608
2022,6,7.182438,5.062828,1.408003,0.711607
2022,7,6.672936,2.083108,3.672802,0.917026
2022,8,12.006628,6.147985,5.765091,0.093552
2022,9,4.00888,3.335166,0.550149,0.123565
2022,10,5.634142,2.674275,2.69618,0.263687
2022,11,11.042563,3.415623,7.069042,0.557898
2022,12,6.132506,2.890033,1.564937,1.677536
2023,1,12.486546,9.30332,3.000929,0.182297
2023,2,9.046049,5.766361,2.362594,0.917094
2023,3,4.582802,2.092391,1.691214,0.799197
2023,4,10.746592,3.792545,6.051399,0.902648
2023,5,6.695278,5.054482,1.570297,0.070499
2023,6,7.420415,3.749874,3.242121,0.42842
2023,7,7.08501,2.834305,3.214645,1.03606
2023,8,4.733973,2.871191,1.854969,0.007813
2023,9,7.796852,2.470588,5.066629,0.259635
2023,10,3.335921,1.484426,1.714836,0.136659
2023,11,2.615971,0.696051,1.758756,0.161164
2023,12,7.975735,3.313319,3.887482,0.774934
2024,1,2.403054,1.843785,0.43599,0.123279
2024,2,3.524796,2.923001,0.001703,0.600092
2024,3,9.461156,2.087733,7.247803,0.12562
2024,4,11.373481,9.361493,1.852969,0.159019
2024,5,2.801886,2.557226,0.061,0.18366
2024,6,6.950739,2.414185,3.373079,1.163475
2024,7,6.232577,5.29675,0.798561,0.137266
2024,8,8.280708,0.381845,7.840624,0.058239
2024,9,6.160378,4.434798,0.831512,0.894068
2024,10,23.149562,3.291564,19.079122,0.778876
2024,11,2.538879,1.443484,0.701252,0.394143
2024,12,14.364595,5.11335,8.885526,0.365719
2025,1,6.477176,2.878687,3,0.598489
2025,2,2.919493,0.884085,1.683343,0.352065
2025,3,11.929025,6.946951,4.751039,0.231035
2025,4,8.202949,3.050223,4.905127,0.247599
2025,5,7.564341,6.486947,1.000511,0.076883
2025,6,5.786923,3.067352,2.460384,0.259187
2025,7,5.336148,1.084739,3.692658,0.558751
2025,8,7.850036,3.434103,4.13428,0.281653
2025,9,2.843968,1.144734,1.285155,0.414079
2025,10,7.688213,3.174417,4.228609,0.285187
2025,11,7.232045,1.010815,5.914706,0.306524
2025,12,5.696404,2.780022,2.305978,0.610404
2026,1,0.870591,0.22623,0,0.644361
2026,2,4.724937,3.413009,0.639213,0.672715
2026,3,0.99697,0.346271,0.25125,0.399449
2026,4,7.794256,6.087625,1.141424,0.565207
