"donor","category","number_of_weapons","monetary_value_eur","weapons_list"
"Australia","Howitzers",6,27217405,"M777 howitzer (6)"
"Australia","Tanks",49,443027368,"M1A1 Abrams (49)"
"Belgium","Tanks",1,510923,"Leopard-1 (1)"
"Canada","Air Defense",1,43870736,"National Advanced Surface-to-Air Missile System (NASAMS) (1)"
"Canada","Howitzers",4,18144936,"M777 howitzer (4)"
"Canada","Tanks",8,15007817,"Leopard-2A4 (8)"
"Czechia","Air Defense",16,350965887,"2K12 KUB (16)"
"Czechia","Howitzers",13,17679907,"Dana Howitzer (13)"
"Czechia","IFV",131,28735332,"BVP-1 infantry fighting vehicle (131)"
"Czechia","MLRS",12,17245767,"RM-70 multiple rocket launcher (12)"
"Czechia","Tanks",62,87913523,"Modified T-72 tank (T-72A/T-72M1/M1R) (62)"
"Denmark","Howitzers",42,177100851,"CAESAR artillery howitzer (19); Bohdana self-propelled howitzer (18); Zusana-2 howitzer (5)"
"Denmark","IFV",100,275367756,"BMP-2 (80); CV9035 MKIIIC (20)"
"Denmark","Tanks",94,80258048,"Leopard-1A5 (62); Modified T-72 tank (T-72A/T-72M1/M1R) (25); Leopard-2A4 (7)"
"Estonia","Howitzers",57,21178675,"D-30 howitzer (24); FH70 155mm howitzer (24); D-30 Howitzer (9)"
"France","Air Defense",2,18137290,"Crotale air-defense system (2)"
"France","Howitzers",69,368703791,"CAESAR artillery howitzer (54); TRF1 howitzer (15)"
"France","MLRS",4,47786319,"M270 weapon system (4)"
"Germany","Air Defense",19,3714829437,"Iris-T SLM air defence system (14); Patriot air defense battery (5)"
"Germany","Howitzers",110,1143000848,"RCH-155 self propelled howitzer (54); Panzerhaubitze 2000 (44); M109 155mm howitzer (7); Zusana-2 howitzer (5)"
"Germany","IFV",204,271666875,"infantry fighting vehicle MARDER (165); M80A infantry fighting vehicle (30); AiTO30 FDC (9)"
"Germany","MLRS",8,44611373,"Mars II (5); HIMARS 142 multiple rocket launcher (3)"
"Germany","Tanks",90,194832303,"Leopard-1A5 (42); M-84 tank (30); Leopard-2A6 (18)"
"Greece","IFV",60,29562341,"BMP-1 (60)"
"Italy","Air Defense",3,899622085,"SAMP/T anti-air missile defense system (3)"
"Italy","Howitzers",76,171719787,"M109 A3GM 155mm howitzer (60); FH70 155mm howitzer (10); Panzerhaubitze 2000 (6)"
"Italy","MLRS",2,23893159,"M270 weapon system (2)"
"Latvia","Howitzers",6,9132768,"M109 A3GM 155mm howitzer (6)"
"Lithuania","Howitzers",18,4608080,"M101 105mm howitzer (9); M50 105mm howitzer (9)"
"Luxembourg","Howitzers",1,5567783,"CAESAR artillery howitzer (1)"
"Netherlands","Air Defense",1,350965887,"Patriot air defense battery (1)"
"Netherlands","Howitzers",23,186238468,"DITA howitzer (15); Panzerhaubitze 2000 (8)"
"Netherlands","IFV",294,86166097,"YPR-765 infantry vehicle (294)"
"Netherlands","Tanks",104,92618735,"overhauled T-72 (45); Leopard-1A5 (37); Modified T-72 tank (T-72A/T-72M1/M1R) (15); Leopard-2A4 (7)"
"Norway","Howitzers",27,65316126,"M109 A3GM 155mm howitzer (22); Zusana-2 howitzer (5)"
"Norway","MLRS",11,30822298,"M270 weapon system (Norway) (11)"
"Norway","Tanks",8,15007817,"Leopard-2A4 (8)"
"Poland","Howitzers",18,201859252,"AHS Krab self-propelled howitzer (18)"
"Poland","IFV",42,20693639,"BMP-1 (42)"
"Poland","Tanks",318,508105666,"Modified T-72 tank (T-72A/T-72M1/M1R) (270); PT-91 Twardy (34); Leopard-2A4 (14)"
"Portugal","Howitzers",18,4608080,"M101 105mm howitzer (18)"
"Portugal","Tanks",3,26322442,"Leopard-2A6 (3)"
"Romania","Air Defense",1,350965887,"Patriot air defense battery (1)"
"Slovakia","Air Defense",3,227090371,"2K12 KUB (2); S-300 air defence system (1)"
"Slovakia","IFV",30,14781170,"BMP-1 (30)"
"Slovenia","IFV",35,21774118,"M80A infantry fighting vehicle (35)"
"Slovenia","Tanks",28,23791767,"M-55S tank (28)"
"Spain","Air Defense",8,255275079,"HAWK air defense system (7); Aspide battery (1)"
"Spain","Howitzers",6,7265673,"OTO Melara Mod 56 Towed Howitzer 105/14 (6)"
"Spain","Tanks",29,54403336,"Leopard-2A4 (29)"
"Sweden","Howitzers",44,154424990,"Archer self-propelled artillery system (44)"
"Sweden","IFV",70,503329269,"CV90 combat vehicle (50); CV9035 MKIIIC (20)"
"United Kingdom","Air Defense",19,84232,"RAVEN Ground Based Air Defence System (13); Stormer Armored vehicle with Starstreak anti-air missile launchers (6)"
"United Kingdom","Howitzers",166,892046422,"L119 105mm howitzer (72); AS-90 howitzer (66); M109 A3GM 155mm howitzer (28)"
"United Kingdom","MLRS",6,71679478,"M270 weapon system (6)"
"United Kingdom","Tanks",14,167604836,"Challenger 2 (14)"
"United States","Air Defense",38,1711549344,"Avenger air defense system (20); National Advanced Surface-to-Air Missile System (NASAMS) (13); Patriot air defense battery (3); HAWK air defense system (2)"
"United States","Howitzers",273,937916759,"M777 howitzer (183); 105mm howitzer (72); M109 A3GM 155mm howitzer (18)"
"United States","IFV",305,508461829,"Bradley infantry fighting vehicle (301); Bradley fire support team vehicle (4)"
"United States","MLRS",41,542355337,"HIMARS 142 multiple rocket launcher (41)"
"United States","Tanks",76,319766283,"overhauled T-72 (45); M1A1 Abrams (31)"
